outcome,classification,icc,term,Value,Std.Error,t-value,p-value
cat_active_learning_pct_posts,aug,0.555,Intercept,0.041614313169478036,0.059930415216211265,0.6943771875990825,0.4874456960998179
cat_active_learning_pct_posts,aug,0.555,TIME,0.0024268318915239236,0.0004814981389773988,5.040168787937595,4.651214441637473e-07
cat_active_learning_pct_posts,aug,0.555,TRANS,-0.09285457952990538,0.02448797131989551,-3.7918445067135758,0.00014953253278469388
cat_active_learning_pct_posts,aug,0.555,RECOV,-0.0008860100221249715,0.001344132427647711,-0.6591686978905247,0.5097874451683602
cat_active_learning_pct_posts,aug,0.555,Group Var,1.2474042215532484,0.23877293798321828,5.224227804412743,1.748833727885613e-07
cat_active_learning_pct_posts,auto,0.0,Intercept,-1.7826689012114596e-16,5713998.665283049,-3.11982729720003e-23,1.0
cat_active_learning_pct_posts,auto,0.0,TIME,0.0001846956113897985,0.003026148212200608,0.061033233813583866,0.9513327416257631
cat_active_learning_pct_posts,auto,0.0,TRANS,-0.971607460164124,0.1609319796898809,-6.037379655904505,1.5663689741232065e-09
cat_active_learning_pct_posts,auto,0.0,RECOV,0.11668826918127154,0.007971359056329856,14.638440993146872,1.5968792723527154e-48
cat_active_learning_pct_posts,auto,0.0,Group Var,0.0,,,
cat_active_learning_pct_posts,both,0.572,Intercept,0.12758660238484618,0.10129970947384469,1.2594962319984608,0.20785115036447221
cat_active_learning_pct_posts,both,0.572,TIME,-0.0004889347123368265,0.0008359570693770996,-0.5848801693861487,0.5586282935335967
cat_active_learning_pct_posts,both,0.572,TRANS,0.05495860323953988,0.039569632081366025,1.388908623828746,0.16486053782782983
cat_active_learning_pct_posts,both,0.572,RECOV,0.0008231684864807927,0.002189831039303284,0.3759050226736633,0.7069875063661573
cat_active_learning_pct_posts,both,0.572,Group Var,1.3030580327904573,0.33405936107052114,3.9006780968948123,9.59236286702966e-05
cat_active_listening_pct_posts,aug,0.0,Intercept,6.1093289803311924e-18,3678232.644085347,1.6609414279858247e-24,1.0
cat_active_listening_pct_posts,aug,0.0,TIME,0.008646669944219153,0.00185513490795997,4.660938623449012,3.1477058747114758e-06
cat_active_listening_pct_posts,aug,0.0,TRANS,-0.1255855995577551,0.09408844582236156,-1.3347611224746978,0.18195454151776302
cat_active_listening_pct_posts,aug,0.0,RECOV,-0.006160447509266649,0.0051811753368003555,-1.1890057967177472,0.23443738587898877
cat_active_listening_pct_posts,aug,0.0,Group Var,0.0,,,
cat_active_listening_pct_posts,auto,0.094,Intercept,0.169426228093959,0.1941268444868553,0.872760429098878,0.38279367235359774
cat_active_listening_pct_posts,auto,0.094,TIME,0.0020030293498736374,0.005805070286259482,0.34504825111502596,0.7300580965310317
cat_active_listening_pct_posts,auto,0.094,TRANS,-1.6699589689246164,0.30698785509506726,-5.439820961019671,5.33341423216111e-08
cat_active_listening_pct_posts,auto,0.094,RECOV,0.18365313329497474,0.014662690449534261,12.525200196176016,5.4354028343636566e-36
cat_active_listening_pct_posts,auto,0.094,Group Var,0.02709584904929595,0.032920515776327174,0.8230687888790709,0.41046887639541496
cat_active_listening_pct_posts,both,0.536,Intercept,1.900312259414467,0.7649549035320553,2.484214756504054,0.012983748011669195
cat_active_listening_pct_posts,both,0.536,TIME,-0.01741352847335989,0.0065489524395664946,-2.6589792236317678,0.00783777961413412
cat_active_listening_pct_posts,both,0.536,TRANS,-0.3994734331456389,0.3104202296626439,-1.2868795103327368,0.19813628797390748
cat_active_listening_pct_posts,both,0.536,RECOV,0.0843630016631498,0.017143802988071413,4.92090358958565,8.614556102103661e-07
cat_active_listening_pct_posts,both,0.536,Group Var,1.2014617395289284,0.3066875536769849,3.9175431970557044,8.945601926673332e-05
cat_administration_and_management_pct_posts,aug,0.54,Intercept,49.892158343933325,2.575278561748454,19.373499661356888,1.2917189866896069e-83
cat_administration_and_management_pct_posts,aug,0.54,TIME,0.030766021850916994,0.021299767883192933,1.4444299120833906,0.14861808172277804
cat_administration_and_management_pct_posts,aug,0.54,TRANS,0.6377992637541103,1.083358135562965,0.5887243034573043,0.5560462318555396
cat_administration_and_management_pct_posts,aug,0.54,RECOV,-0.011468569207062433,0.05946303867408367,-0.19286887220684346,0.8470616636780557
cat_administration_and_management_pct_posts,aug,0.54,Group Var,1.1729555064892514,0.22465090281878522,5.221236557573136,1.7773233157156674e-07
cat_administration_and_management_pct_posts,auto,0.874,Intercept,54.45748157419378,14.65821762892902,3.715150296767195,0.00020308294906399972
cat_administration_and_management_pct_posts,auto,0.874,TIME,0.06936642699385658,0.0507470459353438,1.3669057127430728,0.17165486115160788
cat_administration_and_management_pct_posts,auto,0.874,TRANS,3.6865006016125443,2.699077889712997,1.3658370570419307,0.1719901123481944
cat_administration_and_management_pct_posts,auto,0.874,RECOV,-0.026764150753229514,0.13370861467232056,-0.20016773652782482,0.8413493990353867
cat_administration_and_management_pct_posts,auto,0.874,Group Var,6.952598618581441,4.950907172047485,1.4043080140616213,0.1602271488815593
cat_administration_and_management_pct_posts,both,0.544,Intercept,54.13507089746269,3.2784865173749047,16.512213977566947,2.9968421723247088e-61
cat_administration_and_management_pct_posts,both,0.544,TIME,0.036031494997562176,0.027913172872395583,1.2908419677791312,0.19675848183794042
cat_administration_and_management_pct_posts,both,0.544,TRANS,-1.6115713395173445,1.323395848396489,-1.2177545678944266,0.22331725374686195
cat_administration_and_management_pct_posts,both,0.544,RECOV,0.16271116121388673,0.0730778049826387,2.226546914655448,0.02597757019932414
cat_administration_and_management_pct_posts,both,0.544,Group Var,1.214886124853007,0.31011761059358434,3.917501242601604,8.947158478903759e-05
cat_administrative_pct_posts,aug,0.0,Intercept,-1.1181754140758135e-17,19913069.90565307,-5.615283928463374e-25,1.0
cat_administrative_pct_posts,aug,0.0,TIME,-0.02785868865461984,0.010043255737514736,-2.773870284967337,0.005539376048673643
cat_administrative_pct_posts,aug,0.0,TRANS,0.22914152311003824,0.509372293780193,0.44985077890576947,0.6528180406437216
cat_administrative_pct_posts,aug,0.0,RECOV,0.06169178961701752,0.02804964140619408,2.1993789055497297,0.02785099128952531
cat_administrative_pct_posts,aug,0.0,Group Var,0.0,,,
cat_administrative_pct_posts,auto,0.0,Intercept,2.1583579186694242e-16,35457110.43795104,6.0872357956142265e-24,1.0
