classification,month,total_posts,bucket_communication_and_creative_pct_posts,bucket_communication_and_creative_n_posts,bucket_communication_and_creative_total_mentions,bucket_communication_and_creative_avg_mentions_per_post,bucket_data_and_analytics_pct_posts,bucket_data_and_analytics_n_posts,bucket_data_and_analytics_total_mentions,bucket_data_and_analytics_avg_mentions_per_post,bucket_development_and_infrastructure_pct_posts,bucket_development_and_infrastructure_n_posts,bucket_development_and_infrastructure_total_mentions,bucket_development_and_infrastructure_avg_mentions_per_post,bucket_domain_specific_and_industry_pct_posts,bucket_domain_specific_and_industry_n_posts,bucket_domain_specific_and_industry_total_mentions,bucket_domain_specific_and_industry_avg_mentions_per_post,bucket_enterprise_and_operations_pct_posts,bucket_enterprise_and_operations_n_posts,bucket_enterprise_and_operations_total_mentions,bucket_enterprise_and_operations_avg_mentions_per_post,bucket_security_and_compliance_pct_posts,bucket_security_and_compliance_n_posts,bucket_security_and_compliance_total_mentions,bucket_security_and_compliance_avg_mentions_per_post
Both,2021-04,74342,83.33647198084529,61954,144115,1.9385407979338731,38.786957574453204,28835,36775,0.4946732667940061,26.18304592289688,19465,32305,0.43454574802937773,78.4213499771327,58300,133907,1.8012294530682522,75.84676226090231,56386,131389,1.7673589626321595,13.794355815017083,10255,11594,0.15595491108659976
Both,2021-05,56452,86.7356338127967,48964,121602,2.1540778006093673,36.25735137816198,20468,27440,0.4860766669028555,31.694182668461703,17892,29430,0.52132785375186,77.8236377807695,43933,104627,1.8533798625380855,75.460568270389,42599,99046,1.7545171118826615,14.038475164741728,7925,8987,0.15919719407638347
Both,2021-06,39984,86.20198079231693,34467,83597,2.0907613045218087,36.447078831532615,14573,19428,0.48589435774309725,31.144957983193276,12453,20800,0.5202080832332934,77.61604641856742,31034,70640,1.7667066826730693,76.34553821528611,30526,70194,1.7555522208883554,11.68717486994798,4673,5212,0.13035214085634253
Both,2021-07,39143,81.04897427381651,31725,75022,1.9166134430166313,31.106455815854687,12176,16962,0.4333341849117339,32.31995503666045,12651,22228,0.5678665406330634,73.4537465191733,28752,67727,1.730245510052883,76.43001302914953,29917,66703,1.7040850215875125,12.924405385381805,5059,5565,0.14217101397440154
Both,2021-08,59933,83.24962875210652,49894,121717,2.030884487677907,31.074700081757964,18624,26430,0.4409924415597417,35.20097442143727,21097,35290,0.5888241870088265,76.97595648474129,46134,106751,1.781172309078471,75.5994193516093,45309,102732,1.7141140940717134,15.016768725076336,9000,9939,0.165835182620593
Both,2021-09,63745,84.68899521531101,53985,131526,2.0633147697858654,31.847203702251157,20301,29214,0.45829476821711507,36.94093654404267,23548,40145,0.6297748843046513,75.84751745234921,48349,108333,1.6994744685857714,72.62844144638795,46297,106953,1.6778257118205349,13.985410620440819,8915,9780,0.15342379794493685
Both,2021-10,55234,83.7256037947641,46245,116009,2.100318644313285,31.81554839410508,17573,25947,0.4697649998189521,38.31335771445124,21162,36526,0.6612955788101532,76.47101423036536,42238,96232,1.7422602020494622,74.1210124198863,40940,96329,1.744016366730637,13.669116848318065,7550,8199,0.14844117753557592
Both,2021-11,54378,85.22196476516238,46342,113398,2.0853654051270736,35.56401485895031,19339,27233,0.5008091507594983,36.544190665342605,19872,34589,0.6360844459156276,78.86829232410166,42887,98608,1.8133804111957041,76.21280664974806,41443,96734,1.7789179447570709,15.292949354518372,8316,9028,0.16602302401706573
Both,2021-12,48699,85.56233187539785,41668,106799,2.1930429782952423,32.43187745128237,15794,22882,0.4698659110043327,35.080802480543746,17084,28364,0.5824349575966652,78.68334052033923,38318,89340,1.8345345900326495,73.38343703156123,35737,83847,1.7217396661122406,14.480790159962217,7052,7751,0.1591613790837594
Both,2022-01,54518,83.57790087677465,45565,111655,2.048039179720459,35.30393631461169,19247,27548,0.5053010015040904,35.33695293297627,19265,32258,0.5916944862247331,76.66825635569903,41798,98456,1.8059356542793206,72.50999669833817,39531,93727,1.719193660809274,17.02373528009098,9281,10100,0.18525991415679224
